subject,index,condition,session,distance_to_null
NODEAP_06,1,S,S1D1,4.0885816
NODEAP_06,2,S,S1D2,4.391574
NODEAP_06,3,S,S2D1,3.7816215
NODEAP_06,4,C,S2D2,3.1022758
NODEAP_06,5,C,S3D1,2.8551013
NODEAP_06,6,S,S3D2,4.6629524
NODEAP_07,8,S,S1D1,3.8206384
NODEAP_07,9,S,S1D2,2.7101812
NODEAP_07,10,C,S2D1,3.0593843
NODEAP_07,11,S,S2D2,9.6227045
NODEAP_07,12,S,S3D1,2.268932
NODEAP_07,13,C,S3D2,2.2635794
NODEAP_08,15,C,S1D1,1.3549684
NODEAP_08,16,S,S1D2,2.2555964
NODEAP_08,17,S,S2D1,2.4291008
NODEAP_08,18,S,S2D2,1.7243559
NODEAP_08,19,S,S3D1,1.8898172
NODEAP_08,20,C,S3D2,1.5080377
NODEAP_09,22,S,S1D1,2.9366612
NODEAP_09,23,S,S1D2,2.3703065
NODEAP_09,24,S,S2D1,3.0706272
NODEAP_09,25,C,S2D2,3.0862148
NODEAP_09,26,C,S3D1,3.387867
NODEAP_09,27,S,S3D2,3.3491702
NODEAP_10,29,S,S1D1,3.0409126
NODEAP_10,30,S,S1D2,3.5495727
NODEAP_10,31,S,S2D1,2.606791
NODEAP_10,32,C,S2D2,1.4499056
NODEAP_10,33,C,S3D1,1.7171682
NODEAP_10,34,S,S3D2,3.110961
NODEAP_12,36,C,S1D1,3.2041209
NODEAP_12,37,S,S1D2,4.782513
NODEAP_12,38,S,S2D1,4.607016
NODEAP_12,39,C,S2D2,3.555241
NODEAP_12,40,S,S3D1,4.627351
NODEAP_12,41,S,S3D2,4.042633
NODEAP_13,43,S,S1D1,4.0981956
NODEAP_13,44,C,S1D2,3.3613145
NODEAP_13,45,S,S2D1,1.7301627
NODEAP_13,46,S,S2D2,2.8790088
NODEAP_13,47,C,S3D1,4.9175816
NODEAP_13,48,S,S3D2,3.2009473
NODEAP_15,50,S,S1D1,5.7722425
NODEAP_15,51,C,S1D2,2.224505
NODEAP_15,52,S,S2D1,4.199673
NODEAP_15,53,S,S2D2,4.0148635
NODEAP_15,54,C,S3D1,6.494491
NODEAP_15,55,S,S3D2,4.74137
NODEAP_16,57,S,S1D1,1.9499705
NODEAP_16,58,C,S1D2,4.1016726
NODEAP_16,59,S,S2D1,4.323636
NODEAP_16,60,S,S2D2,2.7633255
NODEAP_16,61,C,S3D1,1.6205102
NODEAP_16,62,S,S3D2,2.7754643
NODEAP_17,64,S,S1D1,5.590532
NODEAP_17,65,C,S1D2,5.5011306
NODEAP_17,66,C,S2D1,4.6802664
NODEAP_17,67,S,S2D2,6.22756
NODEAP_17,68,S,S3D1,4.737815
NODEAP_17,69,S,S3D2,4.6662197
NODEAP_24,71,S,S1D1,4.006113
NODEAP_24,72,S,S1D2,2.2896075
NODEAP_24,73,S,S2D1,2.9649782
NODEAP_24,74,C,S2D2,2.2985804
NODEAP_24,75,C,S3D1,3.4064496
NODEAP_24,76,S,S3D2,4.4754944
NODEAP_26,78,S,S1D1,2.0075998
NODEAP_26,79,C,S1D2,4.1965065
NODEAP_26,80,C,S2D1,3.4646616
NODEAP_26,81,S,S2D2,3.9572442
NODEAP_26,82,S,S3D1,2.691054
NODEAP_26,83,S,S3D2,3.6119466
NODEAP_30,85,S,S1D1,4.0630393
NODEAP_30,86,C,S1D2,3.8946016
NODEAP_30,87,C,S2D1,5.031633
NODEAP_30,88,S,S2D2,2.6972926
NODEAP_30,89,S,S3D1,4.861097
NODEAP_34,91,C,S1D1,2.4034522
NODEAP_34,92,S,S1D2,1.2647971
NODEAP_34,93,S,S2D1,1.9667296
NODEAP_34,94,S,S2D2,1.8680928
NODEAP_34,95,S,S3D1,2.6303556
NODEAP_34,96,C,S3D2,2.7409987
NODEAP_35,98,C,S1D1,2.8640318
NODEAP_35,99,S,S1D2,2.7196305
NODEAP_35,100,S,S2D1,2.3914316
NODEAP_35,101,C,S2D2,3.9769006
NODEAP_35,102,S,S3D1,2.72527
NODEAP_35,103,S,S3D2,2.72527
NODEAP_36,105,C,S1D1,2.6638434
